"Jahr","Gebiet","Indikator_ID","Indikator_Name","Variable","Wert","Einheit","Datenquelle"
2017,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.550179945305136,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2017,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",3696118,"Megawattstunden (MWh)","Bundesamt für Energie"
2017,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.435650797430025,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2018,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",830518,"Megawattstunden (MWh)","Bundesamt für Energie"
2018,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.546045676174647,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2018,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",3731847,"Megawattstunden (MWh)","Bundesamt für Energie"
2018,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.436752906275561,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2019,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",903287,"Megawattstunden (MWh)","Bundesamt für Energie"
2019,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.586826265612058,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2019,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",3990618,"Megawattstunden (MWh)","Bundesamt für Energie"
2019,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.463700057854763,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2020,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",911311,"Megawattstunden (MWh)","Bundesamt für Energie"
2020,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.586647036898514,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2020,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",3929309,"Megawattstunden (MWh)","Bundesamt für Energie"
2020,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.453191815738786,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2021,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",920390,"Megawattstunden (MWh)","Bundesamt für Energie"
2021,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.58823567006804,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2021,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",4175128,"Megawattstunden (MWh)","Bundesamt für Energie"
2021,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.477769522122683,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2022,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",791887,"Megawattstunden (MWh)","Bundesamt für Energie"
2022,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.501204771998403,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2022,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",3892807,"Megawattstunden (MWh)","Bundesamt für Energie"
2022,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Wärmeproduktion",0.441592397836283,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2010,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",325178,"Megawattstunden (MWh)","Bundesamt für Energie"
2010,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.236825852761844,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2010,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1366549,"Megawattstunden (MWh)","Bundesamt für Energie"
2010,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.173637323074804,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2011,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",325411,"Megawattstunden (MWh)","Bundesamt für Energie"
2011,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.233705784848563,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2011,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1397027,"Megawattstunden (MWh)","Bundesamt für Energie"
2011,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.175623678290794,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2012,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",347179,"Megawattstunden (MWh)","Bundesamt für Energie"
2012,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.246475338551373,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2012,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1471717,"Megawattstunden (MWh)","Bundesamt für Energie"
2012,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.183070781907337,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2013,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",389049,"Megawattstunden (MWh)","Bundesamt für Energie"
2013,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.272913805173906,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2013,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1553856,"Megawattstunden (MWh)","Bundesamt für Energie"
2013,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.190900054314501,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2014,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",400537,"Megawattstunden (MWh)","Bundesamt für Energie"
2014,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.27692874635117,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2014,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1658257,"Megawattstunden (MWh)","Bundesamt für Energie"
2014,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.201301800777065,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2015,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",388936,"Megawattstunden (MWh)","Bundesamt für Energie"
2015,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.265227519462311,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2015,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1715470,"Megawattstunden (MWh)","Bundesamt für Energie"
2015,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.206009852619019,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2016,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",422220,"Megawattstunden (MWh)","Bundesamt für Energie"
2016,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.283755911581491,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2016,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1845190,"Megawattstunden (MWh)","Bundesamt für Energie"
2016,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.219155418044907,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2017,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",427849,"Megawattstunden (MWh)","Bundesamt für Energie"
2017,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.284408640033609,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2017,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1852441,"Megawattstunden (MWh)","Bundesamt für Energie"
2017,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.218341892450964,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2018,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",406819,"Megawattstunden (MWh)","Bundesamt für Energie"
2018,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.267473740407425,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2018,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1830591,"Megawattstunden (MWh)","Bundesamt für Energie"
2018,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.214241350047814,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2019,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",417847,"Megawattstunden (MWh)","Bundesamt für Energie"
2019,"Kanton Zürich","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",0.271457017102207,"Megawattstunden pro Person (MWh/Person)","Bundesamt für Energie"
2019,"Schweiz","A1","Abfallverwertung und Energieproduktion in KVA","Stromproduktion",1855358,"Megawattstunden (MWh)","Bundesamt für Energie"
